path,camera,day,is_one,first_time,last_time,unique_times,hours_covered,flag
traffic/J/j3/j3_11.csv,j3,11,False,09:00:46,12:02:48,10923,3.0339,ok
traffic/J/j3/j3_12.csv,j3,12,False,08:59:55,12:01:57,10923,3.0339,ok
traffic/J/j3/j3_13.csv,j3,13,False,08:59:56,12:01:58,10923,3.0339,ok
traffic/J/j3/j3_14.csv,j3,14,False,08:59:57,11:25:26,8730,2.4247,ok
traffic/J/j3/j3_14_one.csv,j3,14,True,11:25:26,11:59:27,2042,0.5669,under_1h
traffic/J/j3/j3_15.csv,j3,15,False,08:59:58,11:27:38,8861,2.4611,ok
traffic/J/j3/j3_15_one.csv,j3,15,True,11:27:38,11:59:29,1912,0.5308,under_1h
traffic/J/j3/j3_16.csv,j3,16,False,08:59:59,11:28:30,8912,2.4753,ok
traffic/J/j3/j3_16_one.csv,j3,16,True,11:28:30,11:59:14,1845,0.5122,under_1h
traffic/J/j3/j3_17.csv,j3,17,False,08:59:55,12:01:57,10923,3.0339,ok
traffic/J/j3/j3_18.csv,j3,18,False,08:59:56,12:01:58,10923,3.0339,ok
traffic/R/r1/r1_11.csv,r1,11,False,09:00:06,11:24:36,8671,2.4083,ok
traffic/R/r1/r1_11_one.csv,r1,11,True,11:24:36,11:57:51,1996,0.5542,under_1h
traffic/R/r1/r1_12.csv,r1,12,False,08:59:53,11:27:06,8834,2.4536,ok
traffic/R/r1/r1_12_one.csv,r1,12,True,11:27:06,11:59:02,1917,0.5322,under_1h
traffic/R/r1/r1_13.csv,r1,13,False,08:59:57,11:23:59,8643,2.4006,ok
traffic/R/r1/r1_13_one.csv,r1,13,True,11:23:59,11:58:24,2066,0.5736,under_1h
traffic/R/r1/r1_14.csv,r1,14,False,08:59:56,11:23:43,8628,2.3964,ok
traffic/R/r1/r1_14_one.csv,r1,14,True,11:23:43,11:58:24,2082,0.5781,under_1h
traffic/R/r1/r1_15.csv,r1,15,False,08:59:57,11:23:54,8638,2.3992,ok
traffic/R/r1/r1_15_one.csv,r1,15,True,11:23:54,11:58:31,2078,0.5769,under_1h
traffic/R/r1/r1_16.csv,r1,16,False,08:59:53,11:24:41,8689,2.4133,ok
traffic/R/r1/r1_16_one.csv,r1,16,True,11:24:41,11:59:09,2069,0.5744,under_1h
traffic/R/r1/r1_17.csv,r1,17,False,08:59:57,11:28:49,8933,2.4811,ok
traffic/R/r1/r1_17_one.csv,r1,17,True,11:28:49,12:01:41,1973,0.5478,under_1h
traffic/R/r1/r1_18.csv,r1,18,False,08:59:53,11:28:34,8922,2.4781,ok
traffic/R/r1/r1_18_one.csv,r1,18,True,11:28:34,12:00:43,1930,0.5358,under_1h
traffic/R/r2/r2_11.csv,r2,11,False,08:59:54,11:25:40,8747,2.4294,ok
traffic/R/r2/r2_11_one.csv,r2,11,True,11:25:40,12:00:34,2095,0.5817,under_1h
traffic/R/r2/r2_12.csv,r2,12,False,08:59:55,11:26:10,8776,2.4375,ok
traffic/R/r2/r2_12_one.csv,r2,12,True,11:26:10,11:59:31,2002,0.5558,under_1h
traffic/R/r2/r2_13.csv,r2,13,False,08:59:56,11:24:56,8701,2.4167,ok
traffic/R/r2/r2_13_one.csv,r2,13,True,11:24:56,11:58:17,2002,0.5558,under_1h
traffic/R/r2/r2_14.csv,r2,14,False,08:59:57,11:26:05,8769,2.4356,ok
traffic/R/r2/r2_14_one.csv,r2,14,True,11:26:05,11:59:10,1986,0.5514,under_1h
traffic/R/r2/r2_15.csv,r2,15,False,08:59:57,11:25:10,8714,2.4203,ok
traffic/R/r2/r2_15_one.csv,r2,15,True,11:25:10,11:59:38,2069,0.5744,under_1h
traffic/R/r2/r2_16.csv,r2,16,False,08:59:53,11:27:27,8855,2.4594,ok
traffic/R/r2/r2_16_one.csv,r2,16,True,11:27:27,11:59:12,1906,0.5292,under_1h
traffic/R/r2/r2_17.csv,r2,17,False,08:59:54,11:26:30,8797,2.4433,ok
traffic/R/r2/r2_17_one.csv,r2,17,True,11:26:30,11:58:38,1929,0.5356,under_1h
traffic/R/r2/r2_18.csv,r2,18,False,08:59:55,11:28:56,8942,2.4836,ok
traffic/R/r2/r2_18_one.csv,r2,18,True,11:28:56,12:01:27,1952,0.5419,under_1h
traffic/R/r3/r3_11.csv,r3,11,False,08:59:26,12:02:12,10967,3.0461,ok
traffic/R/r3/r3_12.csv,r3,12,False,08:59:20,12:01:22,10923,3.0339,ok
traffic/R/r3/r3_13.csv,r3,13,False,08:59:23,12:01:25,10923,3.0339,ok
traffic/R/r3/r3_14.csv,r3,14,False,08:59:32,12:01:34,10923,3.0339,ok
traffic/R/r3/r3_15.csv,r3,15,False,08:59:22,12:01:24,10923,3.0339,ok
traffic/R/r3/r3_16.csv,r3,16,False,08:59:42,11:56:59,10638,2.9547,ok
traffic/R/r3/r3_17.csv,r3,17,False,08:59:20,12:01:22,10923,3.0339,ok
traffic/R/r3/r3_18.csv,r3,18,False,08:59:29,12:01:33,10925,3.0344,ok
